Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
KEY.US_USD,16.957,0.016,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,KEYUSUSD,10,1,KEY.US,USD, US, STK_CASH, KEYCORP
DKS.US_USD,213.838,1.904,0,0,0.01,0,0,unknown,1,0,DKSUSUSD,10,1,DKS.US,USD, US, STK_CASH, DICK'S SPORTING GOODS INC
VWS.DK_DKK,97.918,0.114,0,0,0.01,0,0,Europe/Copenhagen:09.00-17.00,1,0,VWSDKDKK,10,1,VWS.DK,DKK, DK, STK_CASH, Vestas Wind Systems A/S
4004.JP_JPY,4092.9,2,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,4004JPJPY,10,1,4004.JP,JPY, JP, STK_CASH, Showa Denko KK
ICP.GB_GBX,2133.869,6.262,0,0,0.01,0,0,unknown,1,0,ICPGBGBX,10,1,ICP.GB,GBX, GB, STK_CASH, INTERMEDIATE CAPITAL GROUP
LAMR.US_USD,121.765,0.34,0,0,0.01,0,0,unknown,1,0,LAMRUSUSD,10,1,LAMR.US,USD, US, STK_CASH, LAMAR ADVERTISING CO-A
FRES.GB_GBX,646.154,2.028,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,FRESGBGBX,10,1,FRES.GB,GBX, GB, STK_CASH, Fresnillo PLC
RR.GB_GBX,585.167,0.663,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,RRGBGBX,10,1,RR.GB,GBX, GB, STK_CASH, Rolls-Royce Holdings PLC
FANG.US_USD,156.008,0.644,0,0,0.01,0,0,unknown,1,0,FANGUSUSD,10,1,FANG.US,USD, US, STK_CASH, DIAMONDBACK ENERGY INC
SLM.US_USD,26.878,0.024,0,0,0.01,0,0,unknown,1,0,SLMUSUSD,10,1,SLM.US,USD, US, STK_CASH, SLM CORP
ISP.IT_EUR,3.9,0.005,0,0,0.01,0,0,Europe/Rome:09.00-17.25,1,0,ISPITEUR,10,1,ISP.IT,EUR, IT, STK_CASH, Intesa Sanpaolo Spa
BWA.US_USD,31.902,0.056,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,BWAUSUSD,10,1,BWA.US,USD, US, STK_CASH, BORGWARNER INC
HON.US_USD,226.826,0.148,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,HONUSUSD,10,1,HON.US,USD, US, STK_CASH, HONEYWELL INTERNATIONAL INC
VIV.FR_EUR,2.599,0.009,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,VIVFREUR,10,1,VIV.FR,EUR, FR, STK_CASH, Vivendi SA
PUM.DE_EUR,45.268,0.044,0,0,0.01,0,0,unknown,1,0,PUMDEEUR,10,1,PUM.DE,EUR, DE, STK_CASH, PUMA SE
DOCU.US_USD,92.543,0.484,0,0,0.01,0,0,unknown,1,0,DOCUUSUSD,10,1,DOCU.US,USD, US, STK_CASH, DOCUSIGN INC
PKG.US_USD,229.159,0.542,0,0,0.01,0,0,unknown,1,0,PKGUSUSD,10,1,PKG.US,USD, US, STK_CASH, PACKAGING CORP OF AMERICA
CZR.US_USD,33.865,0.02,0,0,0.01,0,0,unknown,1,0,CZRUSUSD,10,1,CZR.US,USD, US, STK_CASH, CAESARS ENTERTAINMENT INC
SECUB.SE_SEK,137.888,0.226,0,0,0.01,0,0,Europe/Stockholm:09.00-17.30,1,0,SECUBSESEK,10,1,SECUB.SE,SEK, SE, STK_CASH, Securitas AB
BRBY.GB_GBX,955.604,1.392,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,BRBYGBGBX,10,1,BRBY.GB,GBX, GB, STK_CASH, Burberry Group PLC
6506.JP_JPY,3944.6,2.7,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,6506JPJPY,10,1,6506.JP,JPY, JP, STK_CASH, Yaskawa Electric Corp
O.US_USD,52.787,0.016,0,0,0.01,0,0,unknown,1,0,OUSUSD,10,1,O.US,USD, US, STK_CASH, REALTY INCOME CORP
NDSN.US_USD,212.234,0.782,0,0,0.01,0,0,unknown,1,0,NDSNUSUSD,10,1,NDSN.US,USD, US, STK_CASH, NORDSON CORP
PLTR.US_USD,71.368,0.024,0,0,0.01,0,0,unknown,1,0,PLTRUSUSD,10,1,PLTR.US,USD, US, STK_CASH, Palantir Technologies Inc. (Class A)
BSX.US_USD,87.957,0.046,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,BSXUSUSD,10,1,BSX.US,USD, US, STK_CASH, BOSTON SCIENTIFIC CORP
HFG.DE_EUR,12.458,0.019,0,0,0.01,0,0,unknown,1,0,HFGDEEUR,10,1,HFG.DE,EUR, DE, STK_CASH, HELLOFRESH SE
STT.US_USD,94.736,0.028,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,STTUSUSD,10,1,STT.US,USD, US, STK_CASH, STATE STREET CORP
CABK.ES_EUR,5.163,0.008,0,0,0.01,0,0,Europe/Madrid:09.00-17.30,1,0,CABKESEUR,10,1,CABK.ES,EUR, ES, STK_CASH, CaixaBank
SW.FR_EUR,79.998,0.104,0,0,0.01,0,0,unknown,1,0,SWFREUR,10,1,SW.FR,EUR, FR, STK_CASH, SODEXO SA
SGRO.GB_GBX,697.747,0.706,0,0,0.01,0,0,unknown,1,0,SGROGBGBX,10,1,SGRO.GB,GBX, GB, STK_CASH, SEGRO PLC
CSL.US_USD,382.694,2.752,0,0,0.01,0,0,unknown,1,0,CSLUSUSD,10,1,CSL.US,USD, US, STK_CASH, CARLISLE COS INC
