Name,Price,spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,commission,symbol,leverage,Lotsize,Base,Quote
USTN10YR,108.628,0.0440,-3.76000,-1.24000,0.010,0.00921005,3.34,UTC:22:00-20:59,1.00000000,0.00,USTN10YR,30,1.00,USTN10YR,USD
USTN2YR,101.289,0.0400,-4.28000,-0.72000,0.010,0.00921005,3.11,UTC:22:00-20:59,1.00000000,0.00,USTN2YR,30,1.00,USTN2YR,USD
USTN5YR,105.325,0.0270,-4.07000,-0.93000,0.010,0.00921005,3.24,UTC:22:00-20:59,1.00000000,0.00,USTN5YR,30,1.00,USTN5YR,USD
UKGILT,96.637,0.0410,-2.81000,-2.19000,0.010,0.01174398,3.78,UTC:07:01-16:59,1.00000000,0.00,UKGILT,30,1.00,UKGILT,GBP
EUBobl,116.056,0.0350,-7.32000,2.32000,0.010,0.01000000,3.87,UTC:23:15-19:59,1.00000000,0.00,EUBobl,30,1.00,EUBobl,EUR
EUBund,130.167,0.0340,-1.47000,-3.53000,0.010,0.01000000,4.33,UTC:23:15-19:59,1.00000000,0.00,EUBund,30,1.00,EUBund,EUR
EUBuxl,128.836,0.0420,-2.85000,-2.15000,0.010,0.01000000,4.28,UTC:23:15-19:59,1.00000000,0.00,EUBuxl,30,1.00,EUBuxl,EUR
EUSchatz,105.250,0.0100,-4.43000,-0.57000,0.010,0.01000000,3.51,UTC:23:15-19:59,1.00000000,0.00,EUSchatz,30,1.00,EUShatz,EUR
AUS200-F,7815.5,6.00,0.00000,0.00000,1.0,0.61204754,11.97,UTC:07:10-20:59,1.00000000,0.00,AUS200-F,400,1.00,AUS200-F,AUD
GER40-F,18771.0,3.00,0.00000,0.00000,1.0,1.00000000,46.96,UTC:00:15-20:59,1.00000000,0.00,GER40-F,400,1.00,GER40-F,EUR
HK50-F,18798.0,10.00,0.00000,0.00000,1.0,0.11794092,33.63,UTC:05:00-08:30,1.00000000,0.00,HK50-F,66,1.00,HK50-F,HKD
JPN225-F,38882.0,26.00,0.00000,0.00000,1.0,0.00587106,1.14,UTC:22:00-20:59,1.00000000,0.00,JPN225-F,200,1.00,JPN225-F,JPY
UK100-F,8327.3,4.00,0.00000,0.00000,1.0,1.17439812,24.46,UTC:22:00-20:59,1.00000000,0.00,UK100-F,400,1.00,UK100-F,GBP
US30-F,39138.2,5.50,0.00000,0.00000,1.0,0.92100537,90.11,UTC:22:00-20:59,1.00000000,0.00,US30-F,400,1.00,US30-F,USD
NAS100-F,18871.8,4.00,0.00000,0.00000,0.1,0.09210054,43.49,UTC:22:00-20:59,1.00000000,0.00,NAS100-F,400,1.00,NAS100-F,USD
US500-F,5320.0,1.20,0.00000,0.00000,0.1,0.09210054,12.26,UTC:22:00-20:59,1.00000000,0.00,US500-F,400,1.00,US500-F,USD
Crude-F,78.105,0.0510,0.00000,0.00000,0.010,0.92100537,71.91,UTC:22:00-20:59,1.00000000,0.00,Crude-F,100,100.00,Crude-F,USD
Brent-F,82.515,0.0510,0.00000,0.00000,0.010,0.92100537,75.92,UTC:22:00-20:59,1.00000000,0.00,Brent-F,100,100.00,Brent-F,USD
XAUUSD-F,2368.30,0.500,0.00000,0.00000,0.10,9.21005369,1091.18,UTC:22:01-20:59,100.00000000,0.00,XAUUSD-F,200,100.00,XAUUSD-F,USD
XAGUSD-F,31.035,0.0319,0.00000,0.00000,0.010,46.05026847,1430.32,UTC:22:01-20:59,1000.00000000,0.00,XAGUSD-F,100,5000.00,XAGUSD-F,USD
