sep=,
Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
EURPLN,4.34305,0.002230,-4.33000,1.74000,0.00010,2.30136356,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURPLN,500,100000.00,EUR,PLN,,,Euro vs Polish Zloty
EURSGD,1.42092,0.000243,-0.83000,-0.87000,0.00010,7.03650539,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURSGD,500,100000.00,EUR,SGD,,,Euro vs Singapore Dollar
EURTRY,36.55507,0.023235,-478.07000,223.86000,0.00010,0.27338673,10000.00,UTC:22:01-21:59,1000.00000000,0.00,EURTRY,10,100000.00,EUR,TRY,,,Euro vs Turkish Lira
EURZAR,19.11225,0.007546,-56.62000,-11.53000,0.00010,0.52301556,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURZAR,500,100000.00,EUR,ZAR,,,Euro vs South African Rand
GBPDKK,8.94131,0.009254,1.40000,-7.84000,0.00010,1.34021489,240.05,UTC:22:01-21:59,1000.00000000,0.00,GBPDKK,500,100000.00,GBP,DKK,,,British Pound vs Danish Krone
GBPSEK,13.88336,0.004473,3.86000,-11.43000,0.00010,0.86354369,240.06,UTC:22:01-21:59,1000.00000000,0.00,GBPSEK,500,100000.00,GBP,SEK,,,British Pound vs Swedish Krona
GBPTRY,43.83121,0.051262,-435.22000,386.57000,0.00010,0.27337515,12003.22,UTC:22:01-21:59,1000.00000000,0.00,GBPTRY,10,100000.00,GBP,TRY,,,British Pound vs Turkish Lira
NOKJPY,13.988,0.0343,0.05000,-0.21000,0.010,6.07411637,17.00,UTC:22:01-21:59,1000.00000000,0.00,NOKJPY,500,100000.00,NOK,JPY,,,Norwegian Krone vs Japanese Yen
NOKSEK,0.98445,0.001143,0.18000,-0.75000,0.00010,0.86354145,17.00,UTC:22:01-21:59,1000.00000000,0.00,NOKSEK,500,100000.00,NOK,SEK,,,Norwegian Krone vs Swedish Krona
SEKJPY,14.179,0.0768,0.00000,-0.13000,0.010,6.07407947,17.29,UTC:22:01-21:59,1000.00000000,0.00,SEKJPY,500,100000.00,SEK,JPY,,,Swedish Krona vs Japanese Yen
SGDJPY,115.830,0.0252,0.37000,-1.45000,0.010,6.07396879,140.81,UTC:22:01-21:59,1000.00000000,0.00,SGDJPY,500,100000.00,SGD,JPY,,,Singapore Dollar vs Japanese Yen
USDCZK,23.80135,0.010596,-4.30000,-13.20000,0.00010,0.39509716,188.28,UTC:06:01-21:59,1000.00000000,0.00,USDCZK,500,100000.00,USD,CZK,,,US Dollar vs Czech Koruna
USDTRY,34.35818,0.019964,-432.56000,198.58000,0.00010,0.27336132,9414.16,UTC:22:01-21:59,1000.00000000,0.00,USDTRY,10,100000.00,USD,TRY,,,US Dollar vs Turkish Lira
USDZAR,17.98187,0.004510,-46.08000,-13.89000,0.00010,0.52297617,188.28,UTC:22:01-21:59,1000.00000000,0.00,USDZAR,500,100000.00,USD,ZAR,,,US Dollar vs South African Rand
EURMXN,21.77374,0.004393,-53.88000,25.13000,0.00010,0.45918489,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURMXN,500,100000.00,EUR,MXN,,,Euro vs Mexican Peso
USDHUF,384.277,0.4187,-2.58000,-0.93000,0.010,2.44550797,188.28,UTC:22:01-21:59,1000.00000000,0.00,USDHUF,500,100000.00,USD,HUF,,,US Dollar vs Hungarian Forint
USDCNH,7.21597,0.000787,-2.42000,-6.42000,0.00010,1.30351244,188.29,UTC:22:01-21:59,1000.00000000,0.00,USDCNH,500,100000.00,USD,CNH,,,US Dollar vs China Offshore Spot
USDTHB,34.65562,0.014890,-138.02000,57.73000,0.00010,0.27133423,188.29,UTC:22:01-21:59,1000.00000000,0.00,USDTHB,500,100000.00,USD,THB,,,US Dollar vs Thai Bhat
ZARJPY,8.598,0.0265,0.02000,-0.32000,0.010,6.07396879,10.48,UTC:22:01-21:59,1000.00000000,0.00,ZARJPY,500,100000.00,ZAR,JPY,,,South African Rand vs Japanese Yen
GBPMXN,26.11026,0.005996,-56.84000,17.49000,0.00010,0.45917814,240.06,UTC:22:01-21:59,1000.00000000,0.00,GBPMXN,500,100000.00,GBP,MXN,,,British Pound vs Mexican Peso
USDINR,84.443,0.1007,-0.54000,-0.22000,0.010,11.12620802,9414.33,UTC:02:01-20:59,1000.00000000,0.00,USDINR,10,100000.00,USD,INR,,,USDINR
USDKRW,1397.04,0.754,-1.20000,-1.27000,0.10,6.72985225,9414.33,UTC:00:01-20:59,1000.00000000,0.00,USDKRW,10,100000.00,USD,KRW,,,USDKRW
USDCLP,983.07,0.800,-0.99000,-0.92000,0.10,9.56075631,9414.42,UTC:12:51-16:09,1000.00000000,0.00,USDCLP,10,100000.00,USD,CLP,,,USDCLP
USDCOP,4454.06,23.380,-5.39000,-3.68000,0.10,2.10085514,9414.33,UTC:14:01-17:49,1000.00000000,0.00,USDCOP,10,100000.00,USD,COP,,,USDCOP
USDTWD,32.380,0.0403,-0.56000,-0.76000,0.010,29.01291098,9414.42,UTC:00:11-19:59,1000.00000000,0.00,USDTWD,10,100000.00,USD,TWD,,,USDTWD
AUDDKK,4.57791,0.003765,0.77000,-3.57000,0.00010,1.34021309,122.94,UTC:22:01-21:59,1000.00000000,0.00,AUDDKK,500,100000.00,AUD,DKK,,,AUDDKK
AUDHUF,250.746,0.3470,-1.92000,-0.50000,0.010,2.44551395,122.94,UTC:22:01-21:59,1000.00000000,0.00,AUDHUF,500,100000.00,AUD,HUF,,,AUDHUF
AUDNOK,7.21430,0.004156,-1.73000,-1.52000,0.00010,0.85066709,122.93,UTC:22:01-21:59,1000.00000000,0.00,AUDNOK,500,100000.00,AUD,NOK,,,AUDNOK
AUDPLN,2.66649,0.001976,-1.51000,0.27000,0.00010,2.30106700,122.93,UTC:22:01-21:59,1000.00000000,0.00,AUDPLN,500,100000.00,AUD,PLN,,,AUDPLN
CADMXN,14.68025,0.003633,-36.71000,13.68000,0.00010,0.45918004,134.98,UTC:22:01-21:59,1000.00000000,0.00,CADMXN,500,100000.00,CAD,MXN,,,CADMXN
CADSGD,0.95805,0.000228,-0.28000,-0.54000,0.00010,7.03610931,134.98,UTC:22:01-21:59,1000.00000000,0.00,CADSGD,500,100000.00,CAD,SGD,,,CADSGD
CHFDKK,7.94878,0.006677,-6.54000,1.13000,0.00010,1.34021309,213.35,UTC:22:01-21:59,1000.00000000,0.00,CHFDKK,500,100000.00,CHF,DKK,,,CHFDKK
